family,arm,denoising_steps,checkpoint,samples,ppl
A,static_static,4,released,100,1946.88
A,static_static,8,released,100,815.06
A,static_static,16,released,100,313.78
A,static_static,32,released,100,162.56
B,fixed_dynamic,4,4000,100,1618.64
B,fixed_dynamic,8,6000,100,606.69
B,fixed_dynamic,16,6000,100,244.05
B,fixed_dynamic,32,6000,100,133.42
B,dynamic_dynamic,4,3000,100,1667.87
B,dynamic_dynamic,8,3000,100,619.0
B,dynamic_dynamic,16,3000,100,264.12
B,dynamic_dynamic,32,3000,100,145.68
C,fixed_dynamic,4,6000,100,1632.05
C,fixed_dynamic,8,6000,100,625.03
C,fixed_dynamic,16,5000,100,248.82
C,fixed_dynamic,32,6000,100,135.74
C,dynamic_dynamic,4,2000,100,1680.8
C,dynamic_dynamic,8,5000,100,677.0
C,dynamic_dynamic,16,5000,100,255.04
C,dynamic_dynamic,32,2000,100,153.37
D,fixed_dynamic,4,6000,100,1582.27
D,fixed_dynamic,8,6000,100,605.85
D,fixed_dynamic,16,5000,100,248.8
D,fixed_dynamic,32,5000,100,133.43
D,dynamic_dynamic,4,2000,100,1733.9
D,dynamic_dynamic,8,6000,100,664.95
D,dynamic_dynamic,16,6000,100,265.51
D,dynamic_dynamic,32,2000,100,140.84
